Species,Suborder,Family,Tooth,Killing.technique,Diet
Ailuropoda_melanoleuca,Caniform,Ursidae,Lower,Rarely,Plant
Ailurus_fulgens,Caniform,Ailuridae,Lower,Rarely,Plant
Atilax_paludinosus,Feliform,Herpestidae,Lower,Head.bite,Invert.aquatic
Bdeogale_jacksoni,Feliform,Herpestidae,Lower,Unknown,Invert.terrestrial
Canis_aureus,Caniform,Canidae,Lower,Shake.tear,Meat
Canis_latrans,Caniform,Canidae,Lower,Unknown,Meat
Canis_mesomelas,Caniform,Canidae,Lower,Shake.tear,Meat
Conepatus_leuconotus,Caniform,Mephitidae,Lower,Unknown,Invert.terrestrial
Crocuta_crocuta,Feliform,Hyaenidae,Lower,Tear,Carrion.bone
Dasyurus_geoffroii,Marsupial,Dasyuridae,Lower,Unknown,Generalist
Dasyurus_hallucatus,Marsupial,Dasyuridae,Lower,Unknown,Generalist
Dasyurus_maculatus,Marsupial,Dasyuridae,Lower,Nape.throat,Meat
Didelphis_marsupialis,Marsupial,Didelphidae,Lower,Unknown,Generalist
Eira_barbara,Caniform,Mustelidae,Lower,Unknown,Generalist
Gulo_gulo,Caniform,Mustelidae,Lower,Head.bite,Carrion.bone
Herpestes_ichneumon,Feliform,Herpestidae,Lower,Head.bite,Meat
Herpestes_urva,Feliform,Herpestidae,Lower,Unknown,Invert.aquatic
Hyaena_hyaena,Feliform,Hyaenidae,Lower,Tear,Carrion.bone
Ichneumia_albicauda,Feliform,Herpestidae,Lower,Unknown,Invert.terrestrial
Lutra_lutra,Caniform,Mustelidae,Lower,Invert.feeder,Meat
Lycaon_pictus,Caniform,Canidae,Lower,Tear,Meat.bone
Lynx_canadensis,Feliform,Felidae,Lower,Nape.throat,Meat
Lynx_rufus,Feliform,Felidae,Lower,Nape.throat,Meat
Martes_americana,Caniform,Mustelidae,Lower,Head.bite,Meat
Martes_pennanti,Caniform,Mustelidae,Lower,Head.bite,Meat
Meles_meles,Caniform,Mustelidae,Lower,Rarely,Generalist
Mephitis_mephitis,Caniform,Mephitidae,Lower,Head.bite,Generalist
Mungos_mungo,Feliform,Herpestidae,Lower,Unknown,Invert.terrestrial
Mustela_putorius,Caniform,Mustelidae,Lower,Head.bite,Meat
Panthera_leo,Feliform,Felidae,Lower,Nape.throat,Meat.bone
Panthera_onca,Feliform,Felidae,Lower,Nape.throat,Meat.bone
Panthera_pardus,Feliform,Felidae,Lower,Nape.throat,Meat.bone
Panthera_tigris,Feliform,Felidae,Lower,Nape.throat,Meat.bone
Pardofelis_marmorata,Feliform,Felidae,Lower,Nape.throat,Meat
Procyon_cancrivorus,Caniform,Procyonidae,Lower,Unknown,Invert.aquatic
Procyon_lotor,Caniform,Procyonidae,Lower,Unknown,Generalist
Sarcophilus_harrisii,Marsupial,Dasyuridae,Lower,Invert.feeder,Carrion.bone
Suricata_suricatta,Feliform,Herpestidae,Lower,Invert.feeder,Invert.terrestrial
Taxidea_taxus,Caniform,Mustelidae,Lower,Invert.feeder,Meat
Ursus_americanus,Caniform,Ursidae,Lower,Unknown,Generalist
Ursus_arctos,Caniform,Ursidae,Lower,Unknown,Generalist
Ursus_maritimus,Caniform,Ursidae,Lower,Unknown,Meat.bone
Viverra_tangalunga,Feliform,Viverridae,Lower,Shake.toss,Generalist
Viverra_zibetha,Feliform,Viverridae,Lower,Shake.toss,Generalist
Vulpes_lagopus,Caniform,Canidae,Lower,Shake.toss,Meat
Vulpes_vulpes,Caniform,Canidae,Lower,Shake.toss,Meat
