Species,Anterior.SpMean,Posterior.SpMean,Lingual.SpMean,Labial.SpMean,Tip.Av.SpMean,Midline.length,log.Midline.length,Csize,Base.area,sqrt.Base.area,Lateral.width,Body.mass,GMSpM.PC1,GMSpM.PC2
Ailuropoda_melanoleuca,19.839,14.383,14.478,20.889,15.746,12.395,1.093246531,31.25255673,77.6272095,8.810630483,8.31,108400,-0.246743214,0.012299035
Ailurus_fulgens,19.564,16.169,18.198,17.55,14.633,7.482,0.874017704,15.98684077,14.6856955,3.832191997,3.96,4900,-0.081774369,0.044792483
Atilax_paludinosus,19.164,14.919,17.497,21.336,16.861,8.628,0.935910136,18.89039858,21.1722826,4.601334872,4.45,3300,-0.099946173,0.068567127
Bdeogale_jacksoni,14.283,14.309,22.057,21.425,14.294,7.312,0.864036183,15.39568529,11.3297143,3.365964097,3.05,2500,-0.035316281,0.007577905
Canis_aureus,22.79,14.058,15.44,20.014,15.82685723,10.182,1.007833093,20.48698164,17.668634,4.203407427,4.04,10345.2,0.029180232,-0.019667434
Canis_dingo,20.72133333,16.37666667,15.58066667,21.89633333,15.77455278,11.88666667,1.073068662,24.9947351,30.90436417,5.546948897,5.53,16800,-0.037790787,0.001215766
Canis_latrans,22.04266667,14.66366667,14.429,20.847,15.279717,13.48966667,1.129707626,26.91013877,29.0673942,5.382593341,5.296666667,13406.3,0.038137968,0.038191861
Canis_mesomelas,20.696,14.208,14.205,21.478,15.72910423,13.366,1.126001457,26.30414731,26.5254087,5.15028239,5.09,8500,0.052925662,0.054904311
Conepatus_leuconotus,18.759,18.129,22.327,20.078,16.128,5.461,0.737272177,12.02466924,8.51677641,2.91835166,2.93,3500,-0.083515351,-0.030574768
Crocuta_crocuta,20.771,12.46,14.202,21.532,13.433,18.816,1.274527304,39.70138413,81.6356681,9.035245879,9.45,62999.9,-0.04375662,0.029592632
Dasyurus_geoffroii,20.531,15.736,23.111,20.396,14.859,4.068,0.609380944,8.491693219,3.63623674,1.906891906,1.9,1100,-0.035811712,-0.008837542
Dasyurus_hallucatus,18.47,14.541,21.657,20.319,15.821,3.28,0.515873844,6.930578332,2.47977029,1.57472864,1.64,525,-0.05323766,-0.013691823
Dasyurus_maculatus,20.829,14.749,17.283,19.317,13.953,5.407,0.73295637,11.16841874,5.86536702,2.421851981,2.57,5500,-0.020312222,-0.002684869
Gulo_gulo,20.437,21.453,12.888,23.491,16.745,10.369,1.015736874,23.54161133,37.5031698,6.123983165,6.19,17012.55,-0.147186441,-0.020182681
Herpestes_ichneumon,19.43,15.532,18.473,20.578,17.682,5.561,0.745152895,12.41326395,9.05743796,3.009557768,2.93,5175,-0.12148808,0.038473631
