Species,Suborder,Family,Tooth,Killing.technique
Ailuropoda_melanoleuca,Caniform,Ursidae,Lower,Rarely
Ailurus_fulgens,Caniform,Ailuridae,Lower,Rarely
Atilax_paludinosus,Feliform,Herpestidae,Lower,Head.bite
Bdeogale_jacksoni,Feliform,Herpestidae,Lower,Invert.feeder
Canis_aureus,Caniform,Canidae,Lower,Shake.tear
Canis_latrans,Caniform,Canidae,Lower,Shake.tear
Canis_mesomelas,Caniform,Canidae,Lower,Shake.tear
Conepatus_leuconotus,Caniform,Mephitidae,Lower,Invert.feeder
Crocuta_crocuta,Feliform,Hyaenidae,Lower,Tear
Dasyurus_geoffroii,Marsupial,Dasyuridae,Lower,Head.bite
Dasyurus_hallucatus,Marsupial,Dasyuridae,Lower,Head.bite
Dasyurus_maculatus,Marsupial,Dasyuridae,Lower,Nape.throat
Gulo_gulo,Caniform,Mustelidae,Lower,Head.bite
Herpestes_ichneumon,Feliform,Herpestidae,Lower,Head.bite
Herpestes_urva,Feliform,Herpestidae,Lower,Invert.feeder
Hyaena_hyaena,Feliform,Hyaenidae,Lower,Tear
Ichneumia_albicauda,Feliform,Herpestidae,Lower,Invert.feeder
Lutra_lutra,Caniform,Mustelidae,Lower,Invert.feeder
Lycaon_pictus,Caniform,Canidae,Lower,Tear
Lynx_canadensis,Feliform,Felidae,Lower,Nape.throat
Lynx_rufus,Feliform,Felidae,Lower,Nape.throat
Martes_americana,Caniform,Mustelidae,Lower,Head.bite
Martes_pennanti,Caniform,Mustelidae,Lower,Head.bite
Meles_meles,Caniform,Mustelidae,Lower,Rarely
Mephitis_mephitis,Caniform,Mephitidae,Lower,Head.bite
Mungos_mungo,Feliform,Herpestidae,Lower,Invert.feeder
Mustela_putorius,Caniform,Mustelidae,Lower,Head.bite
Panthera_leo,Feliform,Felidae,Lower,Nape.throat
Panthera_onca,Feliform,Felidae,Lower,Nape.throat
Panthera_pardus,Feliform,Felidae,Lower,Nape.throat
Panthera_tigris,Feliform,Felidae,Lower,Nape.throat
Pardofelis_marmorata,Feliform,Felidae,Lower,Nape.throat
Sarcophilus_harrisii,Marsupial,Dasyuridae,Lower,Anterior
Suricata_suricatta,Feliform,Herpestidae,Lower,Invert.feeder
Taxidea_taxus,Caniform,Mustelidae,Lower,Anterior
Ursus_americanus,Caniform,Ursidae,Lower,Anterior
Ursus_arctos,Caniform,Ursidae,Lower,Anterior
Ursus_maritimus,Caniform,Ursidae,Lower,Anterior
Viverra_tangalunga,Feliform,Viverridae,Lower,Shake.toss
Viverra_zibetha,Feliform,Viverridae,Lower,Shake.toss
Vulpes_lagopus,Caniform,Canidae,Lower,Shake.toss
Vulpes_vulpes,Caniform,Canidae,Lower,Shake.toss
