Institution,Specimen,Suborder,Family,Species,Collector,Specimen.type,Tooth,Position,Killing.technique,Diet,Scan,Outlier,Sharpness.pair,Notes,Anterior,Posterior,Lingual,Labial,Sagittal.Tip,Lateral.Tip,Tip.Av,Midline.length,log.Midline.length,Csize,Base.area,sqrt.Base.area,Lateral.width,Body.mass
NMNH,NMNH181596,Feliform,Felidae,Acinonyx.jubatus,Tahlia,Cast,Upper,Right,Nape.throat,Meat.bone,Laser.design,Y,N,,19.16,14.15,14.582,17.896,16.111,14.338,15.224,18.347,1.263565061,37.9298753,69.535,8.338764897,8.02,50000
NMNH,NMNH182698,Feliform,Felidae,Acinonyx.jubatus,Tahlia,Cast,Upper,Right,Nape.throat,Meat.bone,Laser.design,Y,N,,20.066,11.51,13.81,19.02,14.61,14.208,14.409,17.631,1.246276945,35.42238471,52.5139192,7.246648825,7.42,50000
Smithsonian,NMNH258835,Caniform,Ursidae,Ailuropoda.melanoleuca,Tahlia,Cast,Upper,Left,Rarely,Plant,Laser.design,Y,N,,21.24,13.129,14.859,21.808,16.274,14.895,15.585,18.668,1.271097792,42.45596282,123.198962,11.09950278,10.71,108400
Smithsonian,NMNH259400,Caniform,Ursidae,Ailuropoda.melanoleuca,Tahlia,Cast,Lower,Right,Rarely,Plant,Laser.design,Y,Y,,19.839,14.383,14.478,20.889,15.878,15.613,15.746,12.395,1.093246531,31.25255673,77.6272095,8.810630483,8.31,108400
Smithsonian,NMNH259400,Caniform,Ursidae,Ailuropoda.melanoleuca,Tahlia,Cast,Upper,Left,Rarely,Plant,Laser.design,Y,Y,,21.077,13.496,15.222,21.54,16.976,14.912,15.944,15.706,1.196065593,36.98999347,95.3457461,9.764514637,9.23,108400
AMNH,AMNH119474,Caniform,Ailuridae,Ailurus.fulgens,Tahlia,Cast,Lower,Right,Rarely,Plant,Laser.design,Y,Y,,19.564,16.169,18.198,17.55,14.519,14.747,14.633,7.482,0.874017704,15.98684077,14.6856955,3.832191997,3.96,4900
AMNH,AMNH119474,Caniform,Ailuridae,Ailurus.fulgens,Tahlia,Cast,Upper,Right,Rarely,Plant,Laser.design,Y,Y,,22.866,16.13,15.534,18.112,15.027,15.193,15.11,7.829,0.893706293,16.14861482,12.2660262,3.502288709,3.43,4900
AMNH,AMNH164121,Caniform,Ailuridae,Ailurus.fulgens,Tahlia,Cast,Upper,Left,Rarely,Plant,Laser.design,Y,N,,22.579,15.443,13.827,13.875,16.487,15.043,15.765,7.154,0.854548936,15.17489746,11.3039759,3.36213859,3.08,4900
AMNH,AMNH119939,Feliform,Herpestidae,Atilax.paludinosus,Tahlia,Cast,Lower,Left,Head.bite,Invert.aquatic,Laser.design,Y,Y,Bit.worn.tip,19.164,14.919,17.497,21.336,16.446,17.276,16.861,8.628,0.935910136,18.89039858,21.1722826,4.601334872,4.45,3300
AMNH,AMNH119939,Feliform,Herpestidae,Atilax.paludinosus,Tahlia,Cast,Upper,Right,Head.bite,Invert.aquatic,Laser.design,Y,Y,,12.9,13.358,19.782,19.45,14.424,15.334,14.879,10.417,1.017742664,21.07060683,19.6261305,4.43013888,4.5,3300
AMNH,AMNH83226,Feliform,Herpestidae,Bdeogale.jacksoni,Tahlia,Cast,Lower,Left,Invert.feeder,Invert.terrestrial,Laser.design,Y,Y,,14.283,14.309,22.057,21.425,14.571,14.017,14.294,7.312,0.864036183,15.39568529,11.3297143,3.365964097,3.05,2500
AMNH,AMNH83226,Feliform,Herpestidae,Bdeogale.jacksoni,Tahlia,Cast,Upper,Left,Invert.feeder,Invert.terrestrial,Laser.design,Y,Y,Not.sure.if.left.or.right,14.893,12.119,23.987,22.975,15.479,13.236,14.358,9.043,0.956312531,17.64094879,10.1808326,3.190741701,2.81,2500
AM,AM42917,Caniform,Canidae,Canis.aureus,Tahlia,Cast,Lower,Left,Shake.tear,Meat,Laser.design,Y,Y,,22.79,14.058,15.44,20.014,15.5,16.154,15.82685723,10.182,1.007833093,20.48698164,17.668634,4.203407427,4.04,10345.2
AM,AM42917,Caniform,Canidae,Canis.aureus,Tahlia,Cast,Upper,Right,Shake.tear,Meat,Laser.design,Y,Y,,19.748,13.026,15.73,22.785,14.406,15.193,14.799,14.222,1.152960674,30.08960646,20.868875,4.568246381,4.17,10345.2
