,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,Tooth,Specimen,Family,Species,Diet,Killing,Sharpness.pair,PC1A,PC1Diff,PC2A,PC2Diff
NMNH259400Ailuropoda.melanoleucaUpperLeft,0.177233058,-0.055559749,0.002661439,0.056283291,0.011322935,0.026240626,-0.008487862,-0.012349988,0.021247619,0.013694578,0.001600846,0.00062289,-0.011544158,-0.011228681,-0.000685874,-0.000734262,-0.00043004,-0.001460972,-0.00011503,-0.004277134,0.000389334,-0.000792294,0.002395168,-0.001722216,0.001918144,-0.001101483,-0.00131823,1.84E-05,-0.001331886,-0.001988141,0.0013935,-0.000551926,0.001941249,-0.001183401,-0.0008233,0.000951329,0.000349374,0.000547828,0.000950333,0.000261955,-0.000498847,-0.00036309,-0.00060372,-0.000189094,0.001213397,-0.000120521,5.04E-05,-0.000521639,0.000606584,0.000115482,Upper,NMNH259400,Ursidae,Ailuropoda.melanoleuca,Plant,Rarely,Y,0.249598422,-0.072365365,0.031123538,-0.086683287
AMNH119474Ailurus.fulgensUpperRight,0.031834509,-0.002003643,0.041847677,-0.01340687,-0.020082087,-0.021922559,0.001558488,0.010177359,-0.002798848,0.021060151,-0.004290058,-0.002775867,-0.005782759,-0.010098781,0.009989702,-0.002253976,-0.007962405,0.001110954,0.011361435,-0.000903038,0.000289332,0.007928688,0.001538085,0.004028834,-0.00498258,0.002053474,-7.68E-06,0.003362818,0.003926658,0.000663759,-0.000998158,-0.000254909,-0.002265887,-0.00121479,0.001528335,0.000959612,0.000621921,-0.000921301,0.001264741,0.000570537,0.000349292,-0.000526269,0.000689581,-0.000265857,-0.00013106,-0.000961353,-1.72E-05,-0.00056006,-0.000168635,0.000468968,Upper,AMNH119474,Ailuridae,Ailurus.fulgens,Plant,Rarely,Y,0.084214992,-0.052380483,0.050164431,-0.052168075
AMNH119939Atilax.paludinosusUpperRight,0.008423353,-0.043786815,0.03992513,0.021582609,-0.011326595,-0.019553261,-0.017437226,0.002417585,-0.003613262,0.017227438,-0.001077758,-0.012728705,0.010499761,-0.002091097,-0.000358799,0.006229859,-0.009856422,-0.0021279,-0.002715244,-0.004401337,0.00847771,-0.004941136,-0.00369235,0.001439653,-0.000525249,-0.002252684,0.000693443,-0.000366972,-0.001059847,-0.001106737,0.001330702,0.00080935,-0.001073564,-0.002800051,0.000250519,0.000374086,-0.000406827,0.000526898,0.001050052,-0.001396808,0.001005935,2.25E-05,-0.001049918,0.000169288,0.001378655,0.000740665,0.000211381,2.81E-05,0.000200858,-0.000527226,Upper,AMNH119939,Herpestidae,Atilax.paludinosus,Invert.aquatic,Head.bite,Y,0.099879339,-0.091455987,0.076050046,-0.119836862
AMNH83226Bdeogale.jacksoniUpperLeft,-0.058432194,-0.148989031,-0.026540689,0.045452961,-0.00380283,-0.024504302,0.02557923,-0.02674836,-0.010780804,0.006885238,0.000817955,0.005899701,-0.008142003,-0.012965021,-0.004497626,-0.007110852,-0.001352225,0.004845494,-0.004722559,0.002327914,0.000617148,-0.000446286,0.000964604,-0.003720501,0.0033418,-0.00208062,0.004225683,0.0046034,0.001123678,-0.009259687,-0.002819844,-0.000702544,0.001281821,0.000532616,0.001734017,-0.001956627,0.001206195,-0.000564574,-0.001127842,0.00068168,-0.000114633,0.000428089,-0.000386403,-0.000339641,0.000399392,0.000164731,-0.000152496,-0.000130534,-0.000665432,-0.000111237,Upper,AMNH83226,Herpestidae,Bdeogale.jacksoni,Invert.terrestrial,Unknown,Y,0.03767795,-0.096110144,0.016107281,-0.165096313
AM42917Canis.aureusUpperRight,-0.052263421,-0.014666034,-0.026146137,0.010515835,0.015621594,-0.004485034,0.005347169,0.010020165,-0.000585285,0.01138895,-0.00714321,0.000637002,0.0088602,0.003250407,0.002733262,-0.000124749,0.002179022,-8.75E-05,0.00074941,-0.002606935,-0.00247443,-0.001064208,0.001091505,-9.52E-05,-0.000673643,0.001001056,-5.44E-05,-0.000702373,-0.000720873,0.000243249,-0.00036553,0.00037502,0.000299388,-0.000389407,-0.000877436,-2.50E-05,0.000383811,-0.000573139,-0.001050143,-0.000276827,-4.60E-05,-0.000530824,0.000209861,5.96E-05,0.000190654,0.000209713,-0.0004375,-0.000239454,9.64E-06,0.000181569,Upper,AM42917,Canidae,Canis.aureus,Unknown,Shake.tear,Y,-0.022324672,-0.02993875,-0.018753737,0.004087702
AM39949Canis.latransUpperLeft,-0.088450377,0.010113408,-0.00979431,0.025546478,0.007457533,0.013534261,-0.004649472,-0.004077287,-0.002295419,-0.000644763,-0.004379934,0.005715552,0.001196385,-0.007754935,-0.001749216,0.000318224,-0.001154148,-0.000550497,0.003873116,-0.001230756,-0.001190129,-0.000684272,-0.000399323,-6.66E-05,-0.000164445,0.001666459,0.000152199,-0.000453913,0.000215107,-7.39E-05,0.000361721,0.000116413,0.000397501,0.000130458,-0.0002396,-0.000159914,-9.84E-07,0.000211345,1.40E-05,4.58E-05,4.79E-05,-0.000236042,0.000165277,0.000267784,-0.000192817,-3.14E-05,-6.93E-05,0.000276261,0.00037467,0.000127995,Upper,AM39949,Canidae,Canis.latrans,Unknown,Unknown,Y,-0.017966147,-0.070484231,0.02537351,-0.015260102
NMVR3033Canis.mesomelasUpperRight,-0.108523584,0.053541084,0.049978912,-0.006802481,0.03916381,-0.005896048,-0.003232967,-0.026949085,0.017248208,-0.000380002,0.006532788,0.004514045,-0.005037957,-0.004622799,0.0020175,0.003533346,-0.006359939,0.002674279,-0.005215265,2.67E-05,-0.005719783,0.006762649,-0.008191566,-0.004054385,0.001336356,-0.011348609,-0.00159543,0.003338174,0.000946732,0.002182434,0.000871333,0.000370502,-0.001552237,0.000149568,0.000332997,0.001313556,-0.001536337,-0.000586114,-0.001457634,0.000126087,-0.000531267,0.000207003,-0.000684198,0.00058785,6.63E-05,6.23E-05,-0.000873936,0.000513969,0.000172271,8.36E-06,Upper,NMVR3033,Canidae,Canis.mesomelas,Unknown,Shake.tear,Y,-0.051792513,-0.056731071,0.051907235,0.001633849
NMNH252774Crocuta.crocutaUpperLeft,-0.007861547,-0.034577467,-0.050569055,0.003205012,0.027571131,0.006054669,0.000686994,-0.008236334,0.006295057,0.014578891,0.003453932,0.005140341,-0.000769233,-0.001741993,0.006511069,-0.015858563,0.001241014,0.000327066,-0.000387814,-0.001364863,-0.001172776,-0.005707169,0.002140665,0.001191293,-0.00084514,0.001328454,0.000563749,-0.000625723,-0.000380146,0.001408435,-0.002659961,0.000336225,-0.000887138,-0.000317785,1.10E-05,0.000766379,-0.000624858,5.21E-05,1.10E-05,0.000907739,-0.000590505,0.000792312,-0.000930054,0.000587731,0.000530538,0.000181334,-6.87E-05,0.000112364,0.000145311,0.000425021,Upper,NMNH252774,Hyaenidae,Crocuta.crocuta,Carrion.bone,Tear,Y,0.047729813,-0.055591359,0.032677815,-0.067255282
NMVC31515Dasyurus.geoffroiiUpperRight,-0.05802538,0.018585166,0.048897394,-0.01271306,0.020373436,0.001990762,0.004188882,0.000514627,-0.002212124,-0.015214796,0.006154623,0.000663792,0.008935223,-0.008841975,-0.001846808,-0.006379624,0.004001537,-0.000325266,0.004031902,-0.00306462,-0.002236402,-0.003882888,-0.004043105,-0.001355531,0.00035587,-0.00389482,0.000922682,-0.002636735,0.000706412,0.000219836,-0.000804116,0.000731995,0.002043201,-0.000957745,0.00039974,-0.000977946,-8.21E-05,0.00063541,0.001098874,0.000948852,0.000877056,-0.000650453,-0.000591448,0.000618419,-0.00056197,-5.54E-05,0.000172519,-0.000268216,-5.33E-06,-0.000372243,Upper,NMVC31515,Dasyuridae,Dasyurus.geoffroii,Generalist,Unknown,Y,0.041017316,-0.099042697,-0.00697051,0.025555676
MZRC4735Dasyurus.hallucatusUpperRight,-0.022321338,0.033834657,0.006295151,0.024168333,0.009440919,-0.031224325,0.014792443,0.006776517,0.012774378,0.01023388,-0.001856913,-0.004141354,0.004806265,-0.001678206,-0.002840744,-0.000923287,-0.001735731,0.000297906,-0.0028218,-0.001168587,-0.002078227,0.000861161,-0.00018723,-0.000482735,0.002737469,-0.001626129,-0.003237838,0.002089723,-0.000694036,0.000733763,-0.000187614,0.002025023,2.99E-05,0.000374654,-0.000349386,0.00015221,-0.000754644,-0.000123014,-0.000473476,-0.000105991,0.000588667,0.000370658,0.000274323,-0.000122008,-4.01E-05,-0.000501795,-0.000478435,-6.30E-05,-0.000177742,2.06E-06,Upper,MZRC4735,Dasyuridae,Dasyurus.hallucatus,Generalist,Unknown,Y,0.058956627,-0.081277965,-0.010913656,0.044748313
