Species,UpperTip,UpperMidline,LowerMidline,LowerTip,logUpperMidline,logLowerMidline,logUpperTip,logLowerTip,PC1.Upper,PC2.Upper,PC1.Lower,PC2.Lower,PC1diff,PC2diff
Ailuropoda_melanoleuca,15.944,15.706,12.395,15.746,1.196065593,1.093246531,1.202597286,1.197170247,0.177233058,-0.055559749,0.249598422,0.031123538,-0.072365365,-0.086683287
Ailurus_fulgens,15.11,7.829,7.482,14.633,0.893706293,0.874017704,1.179264464,1.165333373,0.031834509,-0.002003643,0.084214992,0.050164431,-0.052380483,-0.052168075
Atilax_paludinosus,14.879,10.417,8.628,16.861,1.017742664,0.935910136,1.172573744,1.226883328,0.008423353,-0.043786815,0.099879339,0.076050046,-0.091455987,-0.119836862
Bdeogale_jacksoni,14.358,9.043,7.312,14.294,0.956312531,0.864036183,1.157093949,1.155153778,-0.058432194,-0.148989031,0.03767795,0.016107281,-0.096110144,-0.165096313
Canis_aureus,14.799,14.222,10.182,15.82685723,1.152960674,1.007833093,1.17023237,1.199394685,-0.052263421,-0.014666034,-0.022324672,-0.018753737,-0.02993875,0.004087702
Canis_dingo,15.138,13.574,11.088,15.524,1.132707845,1.044853217,1.180068501,1.191003634,-0.023962804,0.012943366,0.055692744,-0.008988952,-0.079655548,0.021932319
Canis_latrans,15.179,17.88,13.968,15.36202174,1.252367514,1.145134226,1.181243161,1.186448375,-0.088450377,0.010113408,-0.017966147,0.02537351,-0.070484231,-0.015260102
Canis_mesomelas,14.62,16.932,13.366,15.72910423,1.22870826,1.126001457,1.164947373,1.19670399,-0.108523584,0.053541084,-0.051792513,0.051907235,-0.056731071,0.001633849
Crocuta_crocuta,14.979,23.452,18.816,13.433,1.370179886,1.274527304,1.175482821,1.128173015,-0.007861547,-0.034577467,0.047729813,0.032677815,-0.055591359,-0.067255282
Dasyurus_geoffroii,15.512,5.467,4.068,14.859,0.737749074,0.609380944,1.190667796,1.171989583,-0.05802538,0.018585166,0.041017316,-0.00697051,-0.099042697,0.025555676
Dasyurus_hallucatus,17.291,3.92,3.28,15.821,0.593286067,0.515873844,1.237820111,1.199233931,-0.022321338,0.033834657,0.058956627,-0.010913656,-0.081277965,0.044748313
Dasyurus_maculatus,14.491,7.536,5.407,13.953,0.87714089,0.73295637,1.161098356,1.144667594,-0.058228753,0.015236675,0.02615675,-0.000934212,-0.084385503,0.016170887
Didelphis_albiventris,16.401,5.002,3.241,14.487,0.699143687,0.510679031,1.214870329,1.16097846,-0.000136289,0.037482794,0.12980391,0.034151483,-0.129940199,0.003331311
Didelphis_marsupialis,14.884,5.195,4.311,16.532,0.715585552,0.634578023,1.172719661,1.218325397,0.032853423,0.064987817,0.109699452,0.024417803,-0.076846029,0.040570014
