Species,Anterior.SpMean,Posterior.SpMean,Lingual.SpMean,Labial.SpMean,Tip.Av.SpMean,Length,SHSpM.PC1,SHSpM.PC2,SHSpM.PC3,SHSpM.PC3,GMSpM.PC1,GMSpM.PC2,GMSpM.PC3,GMSpM.PC4,Midline.length.SpMean,log.Midline.length.SpMean,Csize.SpMean,Base.area.SpMean,sqrt.Base.area.SpMean,Lateral.width.SpMean,Body.massSpMean,logBody.mass
Acinonyx_jubatus,19.613,12.83,14.196,18.458,14.8165,17.989,1.031686722,0.782262362,0.266825159,-0.320697257,0.00610628,0.006733891,-0.008077232,-0.006063906,17.989,1.254921003,36.67613001,61.0244596,7.792706861,7.72,50000,4.698970004
Ailuropoda_melanoleuca,21.1585,13.3125,15.0405,21.674,15.7645,17.187,-0.283459956,-0.268022952,-0.925463535,-0.127281589,-0.157359843,-0.05803338,0.01338707,-0.024803448,17.187,1.233581693,39.72297815,109.2723541,10.43200871,9.97,108400,5.035029282
Ailurus_fulgens,22.7225,15.7865,14.6805,15.9935,15.4375,7.4915,-0.270319113,0.137114233,-0.891278294,0.507951089,-0.04152926,-0.013136284,0.048663867,-0.003037777,7.4915,0.874127615,15.66175614,11.78500105,3.43221365,3.255,4900,3.69019608
Atilax_paludinosus,12.9,13.358,19.782,19.45,14.879,10.417,-0.170479389,0.224922471,-0.655615586,0.168057738,-6.28E-04,-0.047963187,0.037119784,-0.023376519,10.417,1.017742664,21.07060683,19.6261305,4.43013888,4.5,3300,3.51851394
Bdeogale_jacksoni,14.893,12.119,23.987,22.975,14.358,9.043,-0.143829251,-0.021867649,-0.683002345,0.203375279,0.073350115,-0.149803521,-0.033958985,-0.031231732,9.043,0.956312531,17.64094879,10.1808326,3.190741701,2.81,2500,3.397940009
Canis_aureus,19.748,13.026,15.73,22.785,14.799,14.222,0.260716448,-0.297719083,-1.61461895,0.627299509,0.058249829,-0.011477014,-0.025565725,-0.004716194,15.5,1.152960674,30.08960646,20.868875,4.568246381,4.17,10345.2,4.014738891
Canis_dingo,20.0372,14.7512,16.7596,22.3288,15.6398,14.8782,-0.225500327,0.287278239,-0.676924664,-0.110366328,0.043382858,-0.001349402,-0.003822012,-0.013012765,14.8782,1.170791922,29.71250224,32.7791562,5.713874818,5.364,16800,4.225309282
Canis_latrans,20.2475,13.898,15.793,21.502,15.4945,16.6855,-0.667933389,0.068643294,-0.288615117,-0.560239743,0.088682531,0.009162176,-0.010640754,-0.023438112,16.6855,1.221223484,32.24186391,34.3326402,5.84615481,5.34,13406.3,4.127308934
Canis_mesomelas,19.524,15.016,16.657,21.706,14.62,16.932,-0.009987838,-0.166592273,1.144267648,-0.304266055,0.109116744,0.060204903,0.0533833,-0.00687404,16.932,1.22870826,31.92559999,28.5047152,5.338980727,4.81,8500,3.929418926
Caracal_caracal,21.4875,13.623,14.9845,20.509,15.5045,11.5475,-0.034611474,0.03316484,-0.254020168,-0.274799683,0.03711544,-0.026149849,-0.013558965,-0.005447759,11.5475,1.061955442,23.11225292,22.33160235,4.720976898,4.475,13749.9,4.13829954
