Species,Suborder,Family,Tooth,Diet,Killing,Anterior,Posterior,Lingual,Labial,Tip.Av,PC1,PC2
Acinonyx_jubatus,Feliform,Felidae,Upper,Meat.bone,Nape.throat,19.613,12.83,14.196,18.458,14.8165,0.00610628,0.006733891
Ailuropoda_melanoleuca,Caniform,Ursidae,Upper,Plant,Rarely,21.1585,13.3125,15.0405,21.674,15.7645,-0.157359843,-0.05803338
Ailurus_fulgens,Caniform,Ailuridae,Upper,Plant,Rarely,22.7225,15.7865,14.6805,15.9935,15.4375,-0.04152926,-0.013136284
Atilax_paludinosus,Feliform,Herpestidae,Upper,Invert.aquatic,Head.bite,12.9,13.358,19.782,19.45,14.879,-6.28E-04,-0.047963187
Bdeogale_jacksoni,Feliform,Herpestidae,Upper,Invert.terrestrial,Invert.feeder,14.893,12.119,23.987,22.975,14.358,0.073350115,-0.149803521
Canis_aureus,Caniform,Canidae,Upper,Meat,Shake.tear,19.748,13.026,15.73,22.785,14.799,0.058249829,-0.011477014
Canis_dingo,Caniform,Canidae,Upper,Meat,Shake.tear,20.0372,14.7512,16.7596,22.3288,15.6398,0.043382858,-0.001349402
Canis_latrans,Caniform,Canidae,Upper,Meat,Shake.tear,20.2475,13.898,15.793,21.502,15.4945,0.088682531,0.009162176
Canis_mesomelas,Caniform,Canidae,Upper,Meat,Shake.tear,19.524,15.016,16.657,21.706,14.62,0.109116744,0.060204903
Caracal_caracal,Feliform,Felidae,Upper,Meat,Nape.throat,21.4875,13.623,14.9845,20.509,15.5045,0.03711544,-0.026149849
Civettictis_civetta,Feliform,Viverridae,Upper,Generalist,Shake.toss,20.652,15.758,19.219,24.304,15.381,0.037542908,0.018471452
Conepatus_leuconotus,Caniform,Mephitidae,Upper,Invert.terrestrial,Invert.feeder,19.034,17.213,19.473,21.4555,15.911,-0.037257159,-0.026786387
Crocuta_crocuta,Feliform,Hyaenidae,Upper,Carrion.bone,Tear,20.342,13.375,11.675,22.658,14.979,0.01549183,-0.032836952
Dasyurus_geoffroii,Marsupial,Dasyuridae,Upper,Generalist,Head.bite,20.396,14.72,17.031,21.84,15.512,0.061596914,0.022186621
Dasyurus_hallucatus,Marsupial,Dasyuridae,Upper,Generalist,Head.bite,19.829,13.431,22.261,22.021,17.291,0.024995938,0.031501441
Dasyurus_maculatus,Marsupial,Dasyuridae,Upper,Meat,Nape.throat,17.3675,14.1415,15.0015,20.117,15.613,0.060320558,0.019279371
Dasyurus_viverrinus,Marsupial,Dasyuridae,Upper,Invert.terrestrial,Invert.feeder,17.241,15.022,17.881,22.081,16.594,0.065015089,-0.003666221
Didelphis_albiventris,,Didelphidae,Upper,Invert.terrestrial,Invert.feeder,18.504,14.1045,20.0215,21.6935,16.661,-0.027422746,0.044975662
Didelphis_marsupialis,Marsupial,Didelphidae,Upper,Generalist,NA,18.3665,13.9515,21.0875,21.9915,15.2555,-0.028894674,0.027745355
Didelphis_virginiana,,Didelphidae,Upper,Generalist,NA,17.1102,15.5678,23.5496,22.537,14.6136,0.112536601,0.046725103
Eira_barbara,Caniform,Mustelidae,Upper,Generalist,NA,21.5825,14.1405,16.1535,18.2605,15.599,-0.006666964,-0.0254689
Gulo_gulo,Caniform,Mustelidae,Upper,Carrion.bone,Head.bite,19.692,19.595,15.582,20.443,15.70166667,-0.052180953,-0.028202442
Helarctos_malayanus,Caniform,Ursidae,Upper,Generalist,Rarely,21.962,11.259,14.4295,21.03,15.607,-0.013548635,-0.043794504
Herpestes_ichneumon,Feliform,Herpestidae,Upper,Meat,Head.bite,21.104,13.911,14.847,23.871,16.682,-0.004809711,-0.009617011
Herpestes_urva,Feliform,Herpestidae,Upper,Invert.aquatic,Invert.feeder,19.27,14.785,18.122,21.639,17.36166667,-0.009350446,-0.022621885
Hyaena_hyaena,Feliform,Hyaenidae,Upper,Carrion.bone,Tear,21.3335,11.981,14.285,20.762,15.648,-0.006334931,-0.01493237
Ichneumia_albicauda,Feliform,Herpestidae,Upper,Invert.terrestrial,Invert.feeder,15.681,13.5785,20.5145,21.164,15.2285,0.054785158,-0.01181105
Leopardus_pardalis,Feliform,Felidae,Upper,Meat,Nape.throat,19.69125,11.868,15.05275,17.0555,13.63275,0.049343775,-0.046254357
Leptailurus_serval,Feliform,Felidae,Upper,Meat,Nape.throat,19.539,13.907,14.884,16.136,14.52,0.065388233,-0.014252411
Lutra_lutra,Caniform,Mustelidae,Upper,Meat,Invert.feeder,20.5235,14.522,14.8375,20.695,15.7015,0.029294159,-0.018681206
Lynx_rufus,Feliform,Felidae,Upper,Meat,Nape.throat,19.7385,12.7095,14.3165,16.385,14.0335,0.063346961,-0.028098032
Martes_americana,Caniform,Mustelidae,Upper,Meat,Head.bite,20.057,15.409,15.388,18.958,17.327,0.08894756,-0.036666256
Martes_pennanti,Caniform,Mustelidae,Upper,Meat,Head.bite,19.736,15.3655,16.74,23.2705,15.2735,0.071263967,0.005952833
